teams,def_coef
Arsenal,-0.9859672085658965
Aston Villa,-0.8544974374928013
Bournemouth,-0.4706885088656622
Brentford,-0.7486346034737115
Brighton,-0.7833956879671589
Burnley,-0.7180333865961368
Chelsea,-0.9575415316613838
Crystal Palace,-0.7610361092088034
Everton,-0.7125389002345837
Fulham,-0.7757152525149378
Liverpool,-1.063587198420823
Luton Town,-0.4354122438087982
Manchester City,-1.2814501504085472
Manchester Utd,-0.7767171690423569
Newcastle Utd,-0.8018028007428087
Nott'ham Forest,-0.5337288248523895
Sheffield Utd,-0.2793927419186453
Tottenham,-0.7766438614753687
West Ham,-0.7374783581137919
Wolves,-0.7939546060412909
