teams,def_coef
Arsenal,-1.0610671806340768
Aston Villa,-0.826312090351114
Bournemouth,-0.5760853654223775
Brentford,-0.8195578326764444
Brighton,-0.8002975092425424
Burnley,-0.6579546726298118
Chelsea,-0.9168939951961552
Crystal Palace,-0.8378027391119491
Everton,-0.7683434199301769
Fulham,-0.7750969692139306
Liverpool,-1.155381751818097
Luton Town,-0.3992158875797179
Manchester City,-1.3136979569159615
Manchester Utd,-0.8493947648936105
Newcastle Utd,-0.8365202762530994
Nott'ham Forest,-0.621229420367198
Sheffield Utd,-0.18289529105517716
Tottenham,-0.8262573536593888
West Ham,-0.7270473938776281
Wolves,-0.8580822901415527
