teams,att_coef
Arsenal,1.4003635192907498
Aston Villa,1.1280589448450693
Bournemouth,0.7976356882779729
Brentford,0.9859341775365394
Brighton,1.1065966462592838
Burnley,0.6402013664816248
Chelsea,1.050218238463056
Crystal Palace,0.7653260729897273
Everton,0.6504567465939081
Fulham,0.977215773164971
Liverpool,1.418313958033247
Luton Town,0.9890140403871956
Manchester City,1.5135753661793747
Manchester Utd,1.0691762511989966
Newcastle Utd,1.2060016497072945
Nott'ham Forest,0.7623307091636975
Sheffield Utd,0.6483672312518645
Tottenham,1.2310117404501464
West Ham,0.982401716066555
Wolves,0.6778001636587238
