teams,def_coef
Arsenal,-0.9764406144971612
Aston Villa,-0.8023774835219932
Bournemouth,-0.48026796655200515
Brentford,-0.6798899268235874
Brighton,-0.7437661460472847
Burnley,-0.6298695152198803
Chelsea,-0.9385300760074241
Crystal Palace,-0.7051939209219883
Everton,-0.6681197928990369
Fulham,-0.7749931357888832
Liverpool,-1.035237882775868
Luton Town,-0.3670721347863517
Manchester City,-1.2814087465643806
Manchester Utd,-0.7259337818349219
Newcastle Utd,-0.737068251672197
Nott'ham Forest,-0.5167796226345841
Sheffield Utd,-0.23375630948272597
Tottenham,-0.7300074097788115
West Ham,-0.6905830234290199
Wolves,-0.7637061126638252
