teams,def_coef
Arsenal,-1.0499683253118992
Aston Villa,-0.9499741692003683
Bournemouth,-0.5888206145647352
Brentford,-0.9727063199404302
Brighton,-0.8500631605226334
Burnley,-0.7229274070835716
Chelsea,-1.1728115455904788
Crystal Palace,-1.0294504380598892
Everton,-0.7729037079827169
Fulham,-0.8705408969876312
Liverpool,-1.2052637909870505
Luton Town,-0.5088784909445023
Manchester City,-1.4372057050059979
Manchester Utd,-0.9534511470707895
Newcastle Utd,-1.0918973047903653
Nott'ham Forest,-0.7663911948403306
Sheffield Utd,-0.2143343855784172
Tottenham,-0.9734483814379767
West Ham,-0.9009127320801605
Wolves,-0.9491568201481492
