teams,att_coef
Arsenal,0.8134606829818595
Aston Villa,0.14519124193870886
Bournemouth,0.20018597987400952
Brentford,0.031864615959029036
Brighton,0.3674269238849773
Burnley,0.11756941008796075
Chelsea,0.424391816675705
Crystal Palace,0.0754166096826956
Everton,0.026992935859047974
Fulham,0.2855060634595529
Liverpool,0.7273192803608513
Luton Town,0.3127808281798548
Manchester City,0.4807406049760075
Manchester Utd,0.4498669582253227
Newcastle Utd,0.6943790224857704
Nott'ham Forest,0.3091630294896083
Sheffield Utd,0.23210785906775222
Tottenham,0.5318966970570665
West Ham,0.4345347525045324
Wolves,0.2970670203207348
