teams,def_coef
Arsenal,-0.2360661158749609
Aston Villa,-0.38256268876001376
Bournemouth,0.05673877937223473
Brentford,-0.49577517150928807
Brighton,-0.08968609816996542
Burnley,0.1169979660232629
Chelsea,-0.31171526562940166
Crystal Palace,-0.10469181667015329
Everton,-0.009660030438030504
Fulham,-0.03277998454585003
Liverpool,-0.4528794150118878
Luton Town,0.34467905220623685
Manchester City,-1.089209824613044
Manchester Utd,-0.5139794395586654
Newcastle Utd,-0.5991900865802275
Nott'ham Forest,-0.0320889741454079
Sheffield Utd,-0.04566563813061637
Tottenham,-0.13789300077221517
West Ham,-0.22120890793723064
Wolves,-0.2124613085421635
