teams,att_coef
Arsenal,1.3959689095386298
Aston Villa,1.1636685298573068
Bournemouth,0.7546874213127553
Brentford,1.0173835186041378
Brighton,1.2036942123609817
Burnley,0.654168624971512
Chelsea,1.03320222642311
Crystal Palace,0.7892521496639207
Everton,0.7526347831065557
Fulham,1.0537701335538843
Liverpool,1.4538316331939714
Luton Town,0.8526085716744992
Manchester City,1.5922899121265834
Manchester Utd,1.058333108776573
Newcastle Utd,1.2252473436421905
Nott'ham Forest,0.6935555642426245
Sheffield Utd,0.39636760151234945
Tottenham,1.2606482874194773
West Ham,1.028124040487522
Wolves,0.6205634275314176
