teams,def_coef
Arsenal,-1.1056716534035393
Aston Villa,-0.9890950587778324
Bournemouth,-0.6255040694896885
Brentford,-0.6819318326150883
Brighton,-0.7370783228699618
Burnley,-0.5873614827060103
Chelsea,-0.7574371363248164
Crystal Palace,-0.808156956904067
Everton,-0.9113714984154041
Fulham,-0.7280497216859341
Liverpool,-1.2198902927895119
Luton Town,-0.5172206687214783
Manchester City,-1.0313771456792995
Manchester Utd,-0.9202648767996681
Newcastle Utd,-0.7584666664474036
Nott'ham Forest,-0.6097229683675217
Sheffield Utd,-0.38170264566065054
Tottenham,-0.6929427213756055
West Ham,-0.8177431366776222
Wolves,-0.7653096061880541
