teams,att_coef
Arsenal,0.8877239824232639
Aston Villa,0.7075626318067747
Bournemouth,0.4157391254639854
Brentford,0.3934177938447925
Brighton,0.597394824487921
Burnley,0.11872359260367626
Chelsea,0.49428447184701885
Crystal Palace,0.25423761830703573
Everton,-0.01739446686879126
Fulham,0.33201996841117476
Liverpool,0.8377583428132256
Luton Town,0.5762195281619396
Manchester City,0.532566647115656
Manchester Utd,0.36087749844737194
Newcastle Utd,0.8797451846933337
Nott'ham Forest,0.23362584480491166
Sheffield Utd,0.30258116551009695
Tottenham,0.598440016081137
West Ham,0.4183988119734069
Wolves,0.3374082389698778
