teams,def_coef
Arsenal,-1.0231388145136322
Aston Villa,-0.8929150409328386
Bournemouth,-0.5544386799138319
Brentford,-0.9607152136921079
Brighton,-0.8568721577124148
Burnley,-0.7302191966786478
Chelsea,-1.1038726039354574
Crystal Palace,-0.948240946028755
Everton,-0.7727194775126771
Fulham,-0.8226305767681453
Liverpool,-1.2181367127086704
Luton Town,-0.566772685732691
Manchester City,-1.3442518494047901
Manchester Utd,-0.958539300298654
Newcastle Utd,-1.019868635494749
Nott'ham Forest,-0.7015921365330617
Sheffield Utd,-0.17531933149854412
Tottenham,-0.9366689426324875
West Ham,-0.8504246551007114
Wolves,-0.9334214343549329
